Time:1x17:512,End Time,Electrode:0.000000,Electrode:16.000000,Electrode:32.000000,Electrode:48.000000,Electrode:64.000000,Electrode:80.000000,Electrode:96.000000,Electrode:112.000000,Electrode:128.000000,Electrode:144.000000,Electrode:160.000000,Electrode:176.000000,Electrode:192.000000,Electrode:208.000000,Electrode:224.000000,Electrode:240.000000,Electrode:256.000000,Event Id,Event Date,Event Duration
2.1250000000,2.1875000000,2984.0000000000,1043.4479180516,1423.8521905225,1136.6195581693,718.1126074520,381.0484326104,393.8982172167,778.0458984490,648.7187372043,175.9890394002,148.0354214690,108.9531147405,41.2102295363,23.2363797522,15.1871000571,17.8952973774,14.0000000000,,,
2.1875000000,2.2500000000,5144.0000000000,381.0453739866,583.9694482489,527.8666979199,353.6765470326,89.7871833586,333.0692667843,979.9917261943,788.2461544467,259.7747104278,148.7166074022,194.7749009228,59.6732777638,36.6211912390,48.7433864074,39.5269102090,30.0000000000,,,
2.2500000000,2.3125000000,5504.0000000000,1062.3861456550,910.5709199400,769.0010139598,410.2206303427,208.2775720391,268.8057319764,832.2554958388,836.4161643584,209.5419560969,163.4396398679,184.9462330846,134.0411669646,110.0912838744,107.8682638041,85.1312480730,76.0000000000,,,
2.3125000000,2.3750000000,9036.0000000000,2609.7461249698,1008.4345841543,726.9559967116,475.4903548062,415.4516934063,440.2784610227,646.3431927403,736.8039087844,465.2441481798,307.1390826279,176.3683774455,205.1461003438,218.5993999785,204.1571702473,230.3755413337,140.0000000000,,,
2.3750000000,2.4375000000,4406.0000000000,3202.7328762806,1777.2991081745,1236.4269410210,566.7604071464,539.1305560377,831.8015101783,1050.6212686680,535.2382647009,181.8736813441,96.2116545056,194.4829301493,126.8331222165,130.6246641084,120.4385539790,131.2984657912,78.0000000000,,,
2.4375000000,2.5000000000,3579.0000000000,1642.1963217675,179.4477364224,1330.0655967699,455.3849569695,972.8274622177,467.1030173764,816.8823465632,430.6019043153,132.4810699700,27.2362846022,29.2115150972,95.9402989671,84.0482797055,101.8207535417,105.2143044214,71.0000000000,,,
2.5000000000,2.5625000000,3039.0000000000,917.6288347098,430.5619544118,587.1002380750,339.0880409431,247.1391249544,88.1122069444,645.3635240308,829.7288713791,332.6408039841,195.0240895643,131.2381274723,167.8073314531,150.3332329858,128.9738224993,142.4126939958,97.0000000000,,,
2.5625000000,2.6250000000,2946.0000000000,848.0822802259,354.8395797960,222.2880280940,1332.4358409596,682.3655789678,533.8507157422,677.5187917584,554.6638621724,103.1217180382,90.6853729000,66.6121913424,25.5876870047,19.8770631917,15.1145312101,29.7928108668,12.0000000000,,,
2.6250000000,2.6875000000,3194.0000000000,685.8781953173,1253.5301334027,1185.1309052223,808.7990701890,462.5272712235,872.4521555756,954.4918283378,465.8798128273,131.3304295248,96.1257103664,75.9097829076,30.1341013046,44.4743930056,32.8829543892,18.4868383623,16.0000000000,,,
2.6875000000,2.7500000000,1724.0000000000,1095.3993146827,629.7297099207,97.7389157552,528.7574995906,260.5056282737,237.1876857227,538.2038049228,1023.3474483283,560.0842187565,370.8611497421,341.3534182003,273.7142791794,269.7812294657,242.8095998857,204.2119677074,152.0000000000,,,
