Time:250Hz,Epoch,Electrode,Event Id,Event Date,Event Duration
2.74,85,90.98227149,,,
2.744,85,78.18099023,,,
2.748,85,53.93430024,,,
2.752,86,51.54101447,,,
2.756,86,58.49975269,,,
2.76,86,51.51379483,,,
2.764,86,36.16901284,,,
2.768,86,31.29828759,,,
2.772,86,31.36214109,,,
2.776,86,34.97130002,,,
2.78,86,14.10970581,,,
2.784,87,-15.51454647,,,
2.788,87,27.62409837,,,
2.792,87,81.14716663,,,
2.796,87,81.40385709,,,
2.8,87,78.87727299,,,
2.804,87,68.26748223,,,
2.808,87,40.85539452,,,
2.812,87,47.84864507,,,
2.816,88,90.01587768,,,
2.82,88,93.67248071,,,
2.824,88,47.35524233,,,
2.828,88,7.32799179,,,
2.832,88,-8.567890275,,,
2.836,88,-14.39190512,,,
2.84,88,-6.71762189,,,
2.844,88,18.08061053,,,
2.848,89,64.20442442,,,
2.852,89,93.75148627,,,
2.856,89,91.56946748,,,
2.86,89,83.91281827,,,
2.864,89,64.17158398,,,
2.868,89,33.68513128,,,
2.872,89,23.10472942,,,
2.876,89,37.79726259,,,
2.88,90,32.80371501,,,
2.884,90,32.23252713,,,
2.888,90,58.2965245,,,
2.892,90,59.570534,,,
2.896,90,37.19767331,,,
2.9,90,47.41375203,,,
2.904,90,83.73566797,,,
2.908,90,90.11502709,,,
2.912,91,66.75218583,,,
2.916,91,34.1450623,,,
2.92,91,13.79900101,,,
2.924,91,26.05709836,,,
2.928,91,43.44315789,,,
2.932,91,56.18603466,,,
2.936,91,63.61314911,,,
2.94,91,54.50640148,,,
2.944,92,64.36660966,,,
2.948,92,68.88803886,,,
2.952,92,32.45418898,,,
2.956,92,0.595561136,,,
2.96,92,19.26144589,,,
2.964,92,63.29344831,,,
2.968,92,58.51287926,,,
2.972,92,36.21496182,,,
2.976,93,44.69774263,,,
2.98,93,33.66713048,,,
2.984,93,21.19985002,,,
2.988,93,30.90620526,,,
2.992,93,45.52010758,,,
2.996,93,74.11041473,,,
3,93,69.05561902,,,
3.004,93,30.06524438,,,
3.008,94,8.034804013,,,
3.012,94,4.411975234,,,
3.016,94,19.45454799,,,
3.02,94,42.70512475,,,
3.024,94,43.23733465,,,
3.028,94,12.13582083,,,
3.032,94,-9.036459304,,,
3.036,94,0.545384994,,,
3.04,95,0.866012267,,,
3.044,95,-13.42511205,,,
3.048,95,-32.98384389,,,
3.052,95,-48.05912091,,,
3.056,95,-38.66645965,,,
3.06,95,-5.35832453,,,
3.064,95,44.50885281,,,
3.068,95,48.52264651,,,
3.072,96,13.26041041,,,
3.076,96,20.97769214,,,
3.08,96,41.78582513,,,
3.084,96,42.72121684,,,
3.088,96,30.85915107,,,
3.092,96,15.27610084,,,
3.096,96,6.65447284,,,
3.1,96,-19.61996415,,,
3.104,97,-29.70619,,,
3.108,97,-12.34704685,,,
3.112,97,-6.124574667,,,
3.116,97,13.30968055,,,
3.12,97,13.87682774,,,
3.124,97,-14.13262604,,,
3.128,97,-4.139497956,,,
3.132,97,2.245123658,,,
3.136,98,5.422936061,,,
3.14,98,57.35703989,,,
3.144,98,46.96427163,,,
3.148,98,-17.75598551,,,
3.152,98,-16.89539647,,,
3.156,98,-7.172509453,,,
3.16,98,-20.66593746,,,
3.164,98,-0.257395792,,,
3.168,99,2.950359077,,,
3.172,99,-42.82353782,,,
3.176,99,-40.48153304,,,
3.18,99,-2.853304681,,,
3.184,99,-20.65757484,,,
3.188,99,-48.47499451,,,
3.192,99,-7.162405059,,,
3.196,99,41.2533626,,,
3.2,100,54.53228023,,,
3.204,100,67.51920206,,,
3.208,100,7.826507509,,,
3.212,100,-98.05418522,,,
3.216,100,-106.722929,,,
3.22,100,-44.62209134,,,
3.224,100,0.225788203,,,
